"LABEL","PLATFORM","TYPE","ENGLISH","AMERICAN","FRENCH","GERMAN","DANISH","FRENCH_CANADIAN","DUTCH","MEXICAN"
"DX_Kai_SheeshThisThing","All","Subtitle","Kai: Sheesh, this thing handles like a dog.","Kai: Sheesh, this thing handles like a dog.","Kai : Nom d'un chien, ça répond mal, ce truc.","Kai: Mann, das Ding fährt sich wie'n Blecheimer!","Mand, det er jo ligesom at styre en hund.","Kai : Nom d'un chien, ça répond mal, ce truc.","Kai: Jeetje, dit ding stuurt als een koelkast.","Kai: ¿Y esto qué? Parece un perro."
"DX_LordVortech_Nanananananana","All","Subtitle","Lord Vortech: Nanananananana, Vor-tech!","Lord Vortech: Nanananananana, Vor-tech!","Lord Vortech : Nananananananana, Vor-tech¬!","Lord Vortech: Nananananananana Vor-tech!","Nanananananana, Vor-tech!","Lord Vortech : Nananananananana, Vor-tech¬!","Lord Vortech: Lekker puh, Vortech.","Lord Vortech: ¡Na, na, na, na, na, na, na, na, Vor-tech!"
"DX_Shaggy_Liketimetogetsome","All","Subtitle","Shaggy: Like man, it is time to get some well earned shut-eye!","Shaggy: Like man, it is time to get some well earned shut-eye!","Sammy : Ouais, c'est l'heure d'une petite sieste bien méritée.","Shaggy: Tja Mann, es ist Zeit, sich mal ne Runde langzulegen!","Manner, det er vist på tide at få sig en velfortjent lur.","Shaggy : Ouais, c'est l'heure d'une petite sieste bien méritée.","Shaggy: Tijd voor een welverdiend tukkie!","Shaggy: Es hora de tomar un merecido descanso."
"DX_VictorianMale_Alright","All","Subtitle","Alright guvnor!","Alright guvnor!","Très bien, gouverneur¬!","Alles klar, Meister!","Davs, chef.","Très bien, gouverneur¬!","Oké, baas.","¡Está bien!"
"HINT_CAN_USE_CHI_ALTER","All","Hint","Hold down [[SPECIAL]] to fire ~1CHI~~ into an altar.","Hold down [[SPECIAL]] to fire ~1CHI~~ into an altar.","Maintenez [[SPECIAL]] appuyé pour envoyer du ~1CHI~~ sur un autel.","Halte [[SPECIAL]] gedrückt, um ~1CHI~~ in einen Altar zu schießen.","Hold [[SPECIAL]] nede for at affyre ~1CHI~~ ind i et alter.","Maintenez [[SPECIAL]] appuyé pour envoyer du ~1CHI~~ sur un autel.","Hou [[SPECIAL]] ingedrukt om ~1CHI~~ af te schieten in een altaar.","Mantén oprimido [[SPECIAL]] para disparar ~1CHI~~ a un altar."
"CS_Dalek_DoNotMove","All","Subtitle","Dalek: Do not move!","Dalek: Do not move!","Dalek : Pas un geste¬!","Dalek: Keine Bewegung.","RØR JER IKKE!","Dalek : Pas un geste¬!","Dalek: Sta stil!","Dalek: ¡No se muevan!"
"CS_Gollum_iKnowsIt","All","Subtitle","Gollum: I knows it! I knows it!","Gollum: I knows it! I knows it!","Gollum : Moi, je le sais¬! Je le sais¬!","Gollum: Ich weiß es, ich weiß es!","Jeg vidste det! Jeg vidste det!","Gollum : Moi, je le sais¬! Je le sais¬!","Gollem: Ik weets het! Ik weets het!","Gollum: ¡Lo sé! ¡Lo sé!"
"CS_Batman_Aaaaarrrrrr_fromMainIntro","All","Subtitle","Batman: Aaaaarrrrrr!","Batman: Aaaaarrrrrr!","Batman : Ouarrghhh¬!","Batman: Ahhh!","Aaaaarrrrrr!","Batman : Ouarrghhh¬!","¬","Batman: ¡Aaaaarrrrrr!"
"DX_Portal_Quest01_IDL","All","Subtitle","GLaDOS: Congratulations. You have managed to procure all of the minikits containing components for the Aperture Science Dual Gel Distributor.","GLaDOS: Congratulations. You have managed to procure all of the minikits containing components for the Aperture Science Dual Gel Distributor.","GLaDOS : Félicitations¬! Vous avez récupéré avec succès tous les minikits contenant des composants du double distibuteur de gel Aperture Science.","GLaDOS: Glückwunsch. Du hast alle Minisets mit Komponenten für den Dual-Gel-Verteiler von Aperture Science gefunden.","Tillykke! Du har fået fat i alle de minikit, der indeholder komponenter til Aperture Sciences dobbelte oliefordeler.","GLaDOS : Félicitations¬! Vous avez récupéré avec succès tous les minikits contenant des composants du double distibuteur de gel Aperture Science.","GlaDOS: Gefeliciteerd. Je hebt alle minipakketten met onderdelen van de Aperture Science tweeledige gelverspreider verzameld.","GLaDOS: Felicidades. Lograste conseguir todos los minikits que contienen los componentes para el distribuidor de gel dual de Aperture Science."
"GB_QUEST02_ACT_PAGE1","All","Game","Listen to me! I, Vigo, the scourge of Carpathia, the sorrow of Moldavia, command you! Demonic machinations, brought to life by a gooey, otherworldly power... Find them and bring them to me! Assemble my army! Do not question their appearance... Now is the season of evil, and it takes many forms...","Listen to me! I, Vigo, the scourge of Carpathia, the sorrow of Moldavia, command you! Demonic machinations, brought to life by a gooey, otherworldly power... Find them and bring them to me! Assemble my army! Do not question their appearance... Now is the season of evil, and it takes many forms...","Vigo : J'ai à vous parler¬! Moi Vigo, le fléau des Carpates, la tristesse de Moldavie, je vous donne mes ordres¬! Une puissance gluante d'un autre monde a donné vie à des mécanismes démoniaques... Trouvez-les et ramenez-les-moi¬! Rassemblez mon armée¬! Ne critiquez pas leur apparence... Maintenant est la saison du mal, et il a de nombreux visages...","Hör mich an! Ich, Vigo, die Geißel der Karpaten, die Gram Moldawiens, befehle es dir! Teuflische Apparate, durch eine schleimige Macht aus einer anderen Welt zum Leben erweckt ... bring sie zu mir! Versammle meine Armee! Hinterfrage nicht ihr Erscheinungsbild. Dies ist die Stunde des Bösen und es kennt viele Formen.","Hør nu på mig! Jeg, Vigo, Carpathias plage, Moldavias monstrøsitet, befaler dig! Dæmoniske maskiner, vækket til live af en slimet kraft fra en anden verden ... Find dem, og før dem til mig. Saml min hær! Tænk ikke over deres udseende. Det er ondskabens årstid, og den antager mange former.","Vigo : J'ai à vous parler¬! Moi Vigo, le fléau des Carpates, la tristesse de Moldavie, je vous donne mes ordres¬! Une puissance gluante d'un autre monde a donné vie à des mécanismes démoniaques... Trouvez-les et ramenez-les-moi¬! Rassemblez mon armée¬! Ne critiquez pas leur apparence... Maintenant est la saison du mal, et il a de nombreux visages...","Luister naar me. Ik, Vigo, de kwelling uit Karpatië, het mispunt uit Moldavië, beveelt je. Demonische machines, tot leven gewekt door een slijmerige buitenaardse kracht. Vind ze en breng ze naar mij. Stel mijn leger samen. Oordeel niet over hun uiterlijk. De tijd van het kwaad is aangebroken, en het neemt vele vormen aan.","¡Escúchame! ¡Yo, Vigo, el azote de los Cárpatos, el dolor de Moldavia, te ordeno! Maquinaciones demoníacas, vivas gracias a un poder viscoso de otro mundo... ¡Encuéntralas y tráemelas! ¡Construye mi ejército! No cuestiones su apariencia... Es el tiempo del mal, y toma muchas formas..."
"LEVEL_3CHENSISLAND","All","Level","Elements of Surprise","Elements of Surprise","Éléments surprenants","Überraschungselemente","Overraskelses elementer","Éléments surprenants","Verrassende elementen","Elementos de sorpresa"
"INSTANTSONARSMASH_NAME","All","LegoAPI","Instant Sonar Smash","Instant Sonar Smash","Onde sonique immédiate","Schnelle Sonar-Aktionen","Hurtigt Sonar Smadr","Onde sonique immédiate","Onmiddellijke geluidsknal","Choque sónico instantáneo"
"FARMERMAGGOTSFARM","All","Game","Invest in the crop field?","Invest in the crop field?","Investir dans le champ de culture¬?","In das Getreidefeld investieren?","Vil du investere i en mark?","Investir dans le champ de culture¬?","Investeren in het veld met gewassen?","¿Invertir en el campo de cultivo?"
"CHEAT_MINIKIT_DETECTOR","All","Game","Rare Artefact Detector (R.A.D.)","Rare Artefact Detector (R.A.D.)","Détecteur d'artefacts rares (D.A.R.)","Detektor für seltene Artefakte","Sjælden Relikvie Detektor (S.R.D)","Détecteur d'artefacts rares (D.A.R.)","Reactionaire Artefact Detector (R.A.D.)","Detector de artefactos raros (D.A.R.)"
"SPINATTACK_NAME","All","LegoAPI","Spin Attack","Spin Attack","Attaque vrille","Schleuder-Angriff","Drejeangreb","Attaque vrille","Draaiaanval","Ataque giratorio"
"bio_Superman_0","All","Game","Superman (DC Universe)","Superman (DC Universe)","Superman (DC Universe)","Superman (DC Universe)","Superman (DC Universe)","Superman (DC Universe)","Superman (DC Universe)","Superman (Universo DC)"
"P05_START","All","Game","Howdy neighbour! You wouldn’t happen to have a ~2green thumb~~ going spare, would you? I’ve been trying to grow this li'l ol' acorn here for weeks!","Howdy neighbor! You wouldn’t happen to have a ~2green thumb~~ going spare, would you? I’ve been trying to grow this li'l ol' acorn here for weeks!","Salut, le voisin¬! Vous n'auriez pas une ~2main verte~~ à me prêter, par hasard¬? Ça fait des semaines que j'essaie de faire pousser ce gland¬!","Heda, Nachbar! Du hast nicht zufällig einen ~2grünen Daumen~~ zur Hand, oder? Ich versuche schon seit Wochen, diese kleine Eichel hier zum Wachsen zu bringen!","Halløjsa, nabo! Du har vel ikke tilfældigvis nogle ~2grønne fingre~~ i overskud, vel? Jeg har prøvet at få dette her agern til at vokse i ugevis!","Salut, le voisin¬! Vous n'auriez pas une ~2main verte~~ à me prêter, par hasard¬? Ça fait des semaines que j'essaie de faire pousser ce gland¬!","Hoi, buurtje! Ik vroeg me af of jij niet heel toevallig ~2groene vingers~~ hebt? Ik probeer dit eikeltje al wekenlang te laten ontspruiten!","¡Quihubo! Por casualidad no tienes ~2mano verde~~, ¿no? ¡Hace semanas que trato de hacer crecer esta pequeña bellota!"
"DX_Batman_BingoJustWhatWeNeeded","All","Subtitle","Batman: Bingo! Just what we needed.","Batman: Bingo! Just what we needed.","Batman : C'est pile ce qu'il nous faut¬!","Batman: Das haben wir gebraucht.","Lige hvad vi havde brug for.","Batman : C'est pile ce qu'il nous faut¬!","Batman: Bingo! Dat hadden we net nodig.","Batman: Justo lo que necesitamos."
"DX_Gandalf_YouMightFightTheEvil","All","Subtitle","Gandalf: You must fight the evil which has taken you, Frodo!","Gandalf: You must fight the evil which has taken you, Frodo!","Gandalf : Vous devez résister au mal qui s'empare de vous, Frodon¬!","Gandalf: Kämpf gegen das Böse an, das dich beherrscht, Frodo!","Du må bekæmpe den ondskab, der har besat dig, Frodo.","Gandalf : Vous devez résister au mal qui s'empare de vous, Frodon¬!","Gandalf: Vecht tegen het kwaad dat je in zijn macht heeft, Frodo.","Gandalf: ¡Tienes que luchar contra el mal que se apoderó de ti, Frodo!"
"DX_SentryTurret_Deploying","All","Subtitle","Sentry Turret: Deploying.","Sentry Turret: Deploying.","Tourelle sentinelle : Déploiement.","Geschützturm: Aktiviere.","Indsætter.","Tourelle sentinelle : Déploiement.","Geschutsapparaat: Inzetten.","Torreta Central: Desplegando."
"DX_TheTri_WeAreTheTri","All","Subtitle","The Tri: We are the Tri.","The Tri: We are the Tri.","Le Trois : Nous sommes Le Trois.","Die Tri: Wir sind die Drei.","Vi er De Tre.","Le Trois : Nous sommes Le Trois.","De Tri: Wij zijn de Tri.","El Tri: ¡Somos el Tri!"
"DX_12thDoctor_iCouldSaveTheUniverse","All","Subtitle","The Doctor: I could save the Universe 3 times over before this 'baby' hits 88 miles per hour! Quickly - Back to the TARDIS!","The Doctor: I could save the Universe 3 times over before this 'baby' hits 88 miles per hour! Quickly - Back to the TARDIS!","Le Docteur : J'aurais l'occasion de sauver trois fois l'univers, le temps que ce tacot atteigne les 88 miles à l'heure¬! Vite... retournons au TARDIS¬!","Der Doktor: Ich könnte das Universum drei mal retten, bevor dieses „Baby“ 140 Sachen erreicht hat. Schnell - zurück zur TARDIS!","Jeg kan nå at redde universet 3 gange, før den her 'skønhed' rammer 142 km/t . Hurtigt! Tilbage til TARDIS!","The Doctor : J'aurais l'occasion de sauver trois fois l'univers, le temps que ce tacot atteigne les 88 miles à l'heure¬! Vite... retournons au TARDIS¬!","De Doctor: Ik zou het heelal al drie keer kunnen redden voor deze bak 142 kilometer per uur haalt. Snel, terug naar de TARDIS!","El Doctor: ¡Podría salvar el universo tres veces antes de que este ''bebé'' alcance 88 millas por hora! Rápido... ¡hay que volver a la TARDIS!"
"DX_Batman_TheDarkKnightRises","All","Subtitle","Batman: The Dark Knight rises!","Batman: The Dark Knight rises!","Batman : Le Chevalier Noir revient¬!","Batman: Der dunkle Ritter erhebt sich!","Nattens ridder vender tilbage!","Batman : Le Chevalier Noir revient¬!","Batman: De Dark Knight staat op!","Batman: ¡El Caballero de la Noche asciende!"
"DX_Cyborg_WellThatWasKinda","All","Subtitle","Cyborg: Well, that was kinda embarrassing...","Cyborg: Well, that was kinda embarrassing...","Cyborg : Mouais, c'était un peu gênant...","Cyborg: Hm, das war irgendwie peinlich.","Nå det var da rimeligt pinligt.","Cyborg : Mouais, c'était un peu gênant...","Cyborg: Dat was behoorlijk beschamend.","Cyborg: Bueno, fue un poco embarazoso..."
"DX_GLaDOS_WhatAreYouDoingZ","All","Subtitle","GLaDOS: What are you doing back there? Before you start believing every insane mantra you see scrawled on a wall, I should mention that a few of my former test subjects went a little, well, insane. In non-test-related circumstances.","GLaDOS: What are you doing back there? Before you start believing every insane mantra you see scrawled on a wall, I should mention that a few of my former test subjects went a little, well, insane. In non-test-related circumstances.","GLaDOS : Qu'est-ce que vous fabriquez¬? Avant de vous fier au premier mantra de force nez gribouillé sur un mur, je me dois de préciser que certains de mes anciens sujets ont, hum, perdu la raison pour des motifs absolument sans rapport avec les tests.","GLaDOS: Was tust du da hinten? Bevor du anfängst, jedem verrückten Mantra zu glauben, das auf eine Wand gekritzelt wurde, sollte ich erwähnen, dass einige meiner früheren Testsubjekte ein wenig verrückt geworden sind. Unter nicht-testbezogenen Umständen.","Hvad laver du deromme? Før du begynder at tro på samtlige forskruede mantraer, der er skrevet på en væg, bør jeg nok nævne, at et par af mine tidligere testpersoner blev lidt, nå ja, skøre. Helt uafhængigt af testen i øvrigt.","GLaDOS : Qu'est-ce que vous fabriquez¬? Avant de vous fier au premier mantra de force nez gribouillé sur un mur, je me dois de préciser que certains de mes anciens sujets ont, hum, perdu la raison pour des motifs absolument sans rapport avec les tests.","GLaDOS: Wat doe je daar achter? Voor je elke gekke zin op de muur gaat geloven, vertel ik je maar even dat een paar vroegere proefpersonen een beetje door zijn gedraaid. Onder niet-testgerelateerde omstandigheden.","GLaDOS: ¿Qué haces ahí atrás? Antes de que empieces a creerte cada mantra descabellado pintarrajeado en la pared, debo mencionarte que algunos de mis previos sujetos de pruebas se volvieron un poco, pues, locos. No por causa de las pruebas."
"DX_Kai_SIGHItsGoodToBeBack","All","Subtitle","Kai: It's good to be back.","Kai: It's good to be back.","Kai : Aah... Ça fait du bien de revenir.","Kai: Ah! Schön, wieder hier zu sein.","Det er godt at være tilbage.","Kai : Aah... Ça fait du bien de revenir.","Kai: Wat fijn om terug te zijn.","Kai: Es bueno estar de regreso."
"DX_LordVortech_NgghhhCurseThisWeakBody","All","Subtitle","Lord Vortech: Ngghhh! ... Curse this weak body... I need to find those foundation elements, soon!","Lord Vortech: Ngghhh! ... Curse this weak body... I need to find those foundation elements, soon!","Lord Vortech : Ngggh¬!... Maudit soit ce corps chétif... Il me faut ces Éléments fondateurs, tout de suite¬!","Lord Vortech: Naah! Verflucht sei dieser schwache Körper! Ich muss diese Fundament-Elemente finden.","Ngghhh! Forbistrede svage krop ... Jeg skal have fundet de kerneelementer snart.","Lord Vortech : Ngggh¬!... Maudit soit ce corps chétif... Il me faut ces Éléments fondateurs, tout de suite¬!","Lord Vortech: Vervloekt, zwak lichaam. Ik moet die Funderingselementen snel vinden.","Lord Vortech: ¡Aagh! Maldito cuerpo débil. ¡Debo encontrar los elementos base!"
"DX_Shaggy_LikeWhyIs","All","Subtitle","Shaggy: Like, Why is it always me who has to deal with the bad guys?","Shaggy: Like, Why is it always me who has to deal with the bad guys?","Sammy : Et pourquoi c'est toujours moi qui dois m'occuper des méchants, hein¬?","Shaggy: Warum bin es eigentlich immer ich, der sich mit den Bösewichten anlegen muss?","Altså, hvorfor er det altid mig, der skal ordne skurkene?","Shaggy : Et pourquoi c'est toujours moi qui dois m'occuper des méchants, hein¬?","Shaggy: Waarom ben ik altijd degene die te maken krijgt met de schurken?","Shaggy: ¿Por qué siempre soy yo el que tiene que lidiar con los tipos malos?"
"DX_VictorianMale_CheersFor","All","Subtitle","Cheers for that! Thought for a minute there I'd had me chips!","Cheers for that! Thought for a minute there I'd had me chips!","J'vous tire mon chapeau. Encore un peu, et c'était la fin des haricots¬!","Vielen Dank dafür! Ich dachte schon fast, um mich wär's geschehen!","Tak for det. Jeg troede lige et sekund, at jeg havde mine jetoner.","J'vous tire mon chapeau. Encore un peu, et c'était la fin des haricots¬!","Bedankt, hoor. Ik dacht even dat ik er was geweest.","¡Muchas gracias! ¡Por un momento creí que había llegado mi hora!"
"TI_FLIGHTDOCK","All","Hint","Flight Dock Ability","Flight Dock Ability","Capacité : Amarrage volant","Fähigkeit „Flug-Antriebsschalter“","Evne: Flyvedok","Capacité : Amarrage volant","Vlucht aanmeren","Habilidad muelle volador"
"CS_DalekEmperor_Silence","All","Subtitle","Dalek Emperor: Silence!","Dalek Emperor: Silence!","Empereur Dalek : Silence¬!","Dalek-Imperator: Schweigt.","STILHED!","Empereur Dalek : Silence¬!","Dalek Emperor: Stilte!","Emperador Dalek: ¡Silencio!"
"CS_Gandalf_aBalrogOfMorgoth","All","Subtitle","Gandalf: A Balrog of Morgoth!","Gandalf: A Balrog of Morgoth!","Gandalf : Un Balrog de Morgoth¬!","Gandalf: Ein Balrog von Morgoth!","En af Morgoths Balrogger!","Gandalf : Un Balrog de Morgoth¬!","Gandalf: Een Balrog van Morgoth!","Gandalf: ¡Un Balrog de Morgoth!"
"CS_Gandalf_Aaaaarrrrrr_fromMainIntro","All","Subtitle","Gandalf: Aaaaarrrrrr!","Gandalf: Aaaaarrrrrr!","Gandalf : Aaarrr¬!","Gandalf: Aaaaahhrrr!","¬","Gandalf : Aaarrr¬!","¬","Gandalf: ¡Aaaaarrrrrr!"
"DX_Portal_Quest02_DUR1","All","Subtitle","Wheatley: Listen, I'm a changed core. Really, honestly I am. I want to tell my little Frankenturrets that I'm sorry, you know? But you gotta find them first.","Wheatley: Listen, I'm a changed core. Really, honestly I am. I want to tell my little Frankenturrets that I'm sorry, you know? But you gotta find them first.","Wheatley : J'en ai lourd sur le processeur. Je voudrais dire à mes petites Frankentourelles que je regrette. S'il vous plaît, retrouvez-les.","Wheatley: Hör zu, ich bin jetzt ein anderer Kern. Nein wirklich, bin ich echt ... Ich will meinen kleinen Frankentürmchen sagen, dass es mir leid tut, verstehst du? Aber erst musst du sie finden¬...","Hør nu, jeg er en helt ny kerne - jeg sværger. Jeg - jeg vil gerne sige undskyld til mine små Frankenbotter, det vil jeg da. Men så må du jo finde dem for mig.","Wheatley : J'en ai lourd sur le processeur. Je voudrais dire à mes petites Frankentourelles que je regrette. S'il vous plaît, retrouvez-les.","Wheatley: Luister, ik ben veranderd. Echt waar. Ik wil mijn kleine Frankengeschutjes vertellen dat het me spijt. Maar eerst moet je ze vinden.","Wheatley: Mira, soy un núcleo nuevo. En serio, lo soy. Quiero decirles a mis pequeñas frankentorretas que lo siento. Pero primero tienes que encontrarlas."
"GB_QUEST02_COM_PAGE1","All","Game","Yes... My elite forces have all been summoned. The time is nigh for Vigo, the scourge of Carpathia, to wreak havoc upon this world! But first, I demand sustenance. T'os-túr! Hútduk Stah'd! Prepare a feast fitting for the dawn of destruction! Bwahahahaha!","Yes... My elite forces have all been summoned. The time is nigh for Vigo, the scourge of Carpathia, to wreak havoc upon this world! But first, I demand sustenance. T'os-túr! Hútduk Stah'd! Prepare a feast fitting for the dawn of destruction! Bwahahahaha!","Vigo : Oui... Mes forces d'élite sont à présent au complet. Il est temps pour Vigo, le fléau des Carpates, de répandre le malheur dans le monde entier¬! Mais d'abord, je veux me remplir la panse. Guh'rille-Pain¬! Stään'de Hot'dög¬! Préparez-nous un festin digne d'une aube destructrice¬! Mouah ha ha ha¬!","Ja ... meine besten Recken wurden gerufen. Die Zeit ist nah für Vigo, die Geißel der Karpaten, um Angst und Schrecken über diese Welt hereinbrechen zu lassen. Doch zunächst verlangt es mir nach Stärkung. T'os-túr! Hútduk B'uhdé! Gereicht ein Festmahl, das dem Grauen der Vernichtung würdig ist! Uahahahaha!","Ja! Alle mine elitesoldater er blevet hidkaldt. Tiden nærmer sig for Vigo - Carpathias pine - hvor han skal sprede kaos i denne verden! Men først har jeg brug for næring. Bruh-Rhista! PolséVogan! Gør et festmåltid klar, der er verdens ende værdigt! Mwa ha ha ha ha!","Vigo : Oui... Mes forces d'élite sont à présent au complet. Il est temps pour Vigo, le fléau des Carpates, de répandre le malheur dans le monde entier¬! Mais d'abord, je veux me remplir la panse. Guh'rille-Pain¬! Stään'de Hot'dög¬! Préparez-nous un festin digne d'une aube destructrice¬! Mouah ha ha ha¬!","Mijn eliteleger is opgeroepen. Tijd voor Vigo, de kwelling uit Karpatië, om de wereld te verwoesten. Maar niet op een lege maag. T'osti'ij-zér, Hótdóg-krahm, bereid een feestmaal voor dat past bij deze massavernietiging.","Sí... mis fuerzas de élite han sido convocadas. ¡Se acerca la hora para que Vigo, el azote de los Cárpatos, siembre el caos en este mundo! Pero primero, exijo alimento. ¡T'os-ta'dúr! ¡Karh'ito! ¡Preparen un festín digno del amanecer de la destrucción! ¡Mua, ja, ja, ja, ja!"
"LEVEL_4DOCTORWHO","All","Level","A Dalektable Adventure","A Dalektable Adventure","Une aventure Dalek-table","Der Doctor hört ein Who","Et Dalekte Eventyr","Une aventure Dalek-table","Een Dalektisch avontuur","Una aventura dalekciosa"
"INSTANTSONARSMASH_DESC","All","LegoAPI","Sonar Smashes complete instantly rather than shaking.","Sonar Smashes complete instantly rather than shaking.","Permet les briser avec une onde sonique d'un coup.","Sonar-Gegenstände werden sofort zerstört.","Sonar smadr fuldføres med det samme, i stedet for at ryste.","Permet les briser avec une onde sonique d'un coup.","Geluidsknallen voltooien onmiddellijk in plaats van schoksgewijs","Los choques sónicos se completan al instante y sin sacudidas."
"JUKEBOX","All","Game","Unlock the jukebox?","Unlock the jukebox?","Déverrouiller le juke-box¬?","Die Jukebox freischalten?","Lås op for jukeboxen?","Déverrouiller le juke-box¬?","De jukebox ontgrendelen?","¿Desbloquear la rocola?"
"HINT_LOCATE","All","Hint","The Locate Keystone can be used to find lost objects from other dimensions.[[newPage]]Uncover hidden rifts then tap [[SPECIAL]] to open them.","The Locate Keystone can be used to find lost objects from other dimensions.[[newPage]]Uncover hidden rifts then tap [[SPECIAL]] to open them.","Utilisez la Pierre de repérage pour trouver les objets perdus d'autres dimensions.[[newPage]]Dévoilez les failles dissimulées puis appuyez sur [[SPECIAL]] pour les ouvrir.","Der Positions-Schlüsselstein kann verwendet werden, um verlorene Gegenstände aus anderen Dimensionen zu finden.[[newPage]]Entdecke die verborgenen Tunnel und drück dann [[SPECIAL]], um sie zu öffnen.","Du kan finde forsvundne genstande fra andre dimensioner med lokaliseringsnøgleklodsen.[[newPage]]Afdæk skjulte revner, og tryk så på [[SPECIAL]] for at åbne dem.","Utilisez la Pierre de repérage pour trouver les objets perdus d'autres dimensions.[[newPage]]Dévoilez les failles dissimulées puis appuyez sur [[SPECIAL]] pour les ouvrir.","Je kunt de Zoek-sleutelsteen gebruiken om verloren voorwerpen uit andere dimensies te zoeken.[[newPage]]Leg verborgen kloven bloot en druk dan op [[SPECIAL]] om ze te openen.","Puedes usar la piedra de localización para encontrar objetos perdidos de otras dimensiones.[[newPage]]Descúbre las grietas ocultas y toca [[SPECIAL]] para revelarlas."
"SPINATTACK_DESC","All","LegoAPI","Model spins around as an attack when enemies are near.","Model spins around as an attack when enemies are near.","La maquette tourne sur elle-même pour attaquer quand les ennemis sont proches.","Modell dreht sich als Angriff wenn Feinde in der Nähe sind.","Modellen snurrer rundt som et angreb når der er modstandere nær.","La maquette tourne sur elle-même pour attaquer quand les ennemis sont proches.","Model draait rond als aanval wanneer er vijanden in de buurt zijn.","El modelo gira alrededor como un ataque cuando hay enemigos cerca."
"P05_GROWN","All","Game","Amazing! It’s hard to imagine that in ~5a hundred years~~ or so, this li'l shrub will have grown into a big, beautiful ~2tree~~... Wouldn’t that be a sight to see?","Amazing! It’s hard to imagine that in ~5a hundred years~~ or so, this li'l shrub will have grown into a big, beautiful ~2tree~~... Wouldn’t that be a sight to see?","C'est incroyable¬! C'est fou de penser que dans ~5cent ans~~ et quelques, ce p'tit buisson deviendra un énorme ~2arbre~~... Que ce serait beau à voir¬!","Unglaublich! Schwer vorzustellen, dass aus diesem kleinen Sprössling in ~5hundert Jahren~~ ein großer, prächtiger ~2Baum~~ gewachsen sein wird. Na wenn das kein Anblick wäre!","Utroligt! Det er svært at forestille sig, at om cirka ~5hundrede år~~ vil denne lille busk være et stort, smukt ~2træ~~ ... Ville det ikke være noget af et syn?","C'est incroyable¬! C'est fou de penser que dans ~5cent ans~~ et quelques, ce p'tit buisson deviendra un énorme ~2arbre~~... Que ce serait beau à voir¬!","Geweldig! Het is moeilijk voor te stellen dat over pakweg ~5honderd jaar~~, dit kleine struikje is uitgegroeid tot een grote, prachtige ~2boom~~... Dat moet toch een geweldig zicht zijn?","¡Asombroso! Es difícil imaginar que en unos ~5cien años~~, este arbustito se habrá convertido en un ~2árbol~~ enorme y frondoso... ¿No será una imagen hermosa?"
"DEMO_SCOOBYAPUZZLE","All","Demo","The mansion’s doorway is locked! Try looking around the garden for the keys to open the padlocks!","The mansion’s doorway is locked! Try looking around the garden for the keys to open the padlocks!","La porte du manoir est verrouillée¬! Cherchez des clés dans le jardin pour déverrouiller les cadenas¬!","Die Tür ist verschlossen! Sieh dich im Garten nach Schlüsseln um, mit denen du die Schlösser aufschließen kannst!","Palæets dør er låst! Prøv at lede i haven efter nøglerne til hængelåsene!","La porte du manoir est verrouillée¬! Cherchez des clés dans le jardin pour déverrouiller les cadenas¬!","De deur van het landhuis zit op slot! Zoek in de tuin naar de sleutels om de sloten te openen!","¡La puerta de la mansión está cerrada! Busca las llaves en el jardín para abrir los candados."
"DX_Gandalf_AhThisDeviceWillHelpUs","All","Subtitle","Gandalf: Ah, this device will help us.","Gandalf: Ah, this device will help us.","Gandalf : Ahh, cet engin devrait nous aider.","Gandalf: Ah, dieses Gerät wird uns helfen.","Ah, dette apparat kan hjælpe os.","Gandalf : Ahh, cet engin devrait nous aider.","Gandalf: Dit apparaat komt goed van pas.","Gandalf: Ah, este artefacto nos ayudará."
"DX_Gandalf_YouShallNotPass","All","Subtitle","Gandalf: You shall not pass!","Gandalf: You shall not pass!","Gandalf : Vous ne passerez pas¬!","Gandalf: Du kannst nicht vorbei!","Du kommer ikke forbi!","Gandalf : Vous ne passerez pas¬!","Gandalf: Gij zult niet passeren!","Gandalf: ¡¡¡Tú no lograrás pasar!!!"
"DX_SentryTurret_Firing","All","Subtitle","Sentry Turret: Firing.","Sentry Turret: Firing.","Tourelle sentinelle : Action.","Geschützturm: Feuer frei.","Skyder.","Tourelle sentinelle : Action.","Geschutsapparaat: Schieten.","Torreta Central: Disparando."
"DX_Batman_WaitTheStatuesAre","All","Subtitle","Batman: Wait!? The statues are moving in the dark. Whatever you do.. Don't blink.","Batman: Wait!? The statues are moving in the dark. Whatever you do.. Don't blink.","Batman : Attendez¬?! Les statues bougent dans le noir. Quoi qu'il arrive... Ne clignez pas des yeux.","Batman: Halt! Diese Statuen bewegen sich im Dunkeln. Was auch immer ihr tut - nicht blinzeln!","Vent?! Statuerne bevæger sig i mørket. Uanset hvad må ... du ikke blinke.","Batman : Attendez¬?! Les statues bougent dans le noir. Quoi qu'il arrive... Ne clignez pas des yeux.","Batman: Wacht eens! De standbeelden verplaatsen zich in het donker. Wat je ook doet, hou je ogen open.","Batman: ¡Esperen! Las estatuas se mueven en la oscuridad. Por nada del mundo parpadeen."
